  9809     SPring-8 14b2 
 Cu-K_Cu-foil_S  14.06.25 17:41 - 14.06.25 17:45
 Cu-foil                                                                         
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 26.09900 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4577
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       26.00000  21.10000    -0.001070       0.05      4577
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   134.300   117.200
  25.55595  25.55464     0.050      1855      8617
  25.55488  25.55357     0.050      1858      8617
  25.55381  25.55257     0.050      1854      8610
  25.55274  25.55164     0.050      1852      8601
  25.55167  25.55071     0.050      1856      8624
  25.55060  25.54971     0.050      1856      8622
  25.54953  25.54857     0.050      1854      8619
  25.54846  25.54738     0.050      1861      8647
  25.54739  25.54619     0.050      1862      8650
  25.54632  25.54503     0.050      1859      8638
  25.54525  25.54394     0.050      1861      8653
  25.54418  25.54291     0.050      1865      8671
  25.54311  25.54198     0.050      1862      8655
  25.54204  25.54106     0.050      1861      8663
  25.54097  25.54008     0.050      1869      8691
  25.53990  25.53900     0.050      1864      8673
  25.53883  25.53780     0.050      1863      8674
  25.53776  25.53660     0.050      1865      8685
  25.53669  25.53543     0.050      1868      8694
  25.53562  25.53431     0.050      1866      8686
  25.53455  25.53326     0.050      1870      8702
  25.53348  25.53229     0.050      1870      8707
  25.53241  25.53137     0.050      1868      8705
  25.53134  25.53041     0.050      1873      8714
  25.53027  25.52937     0.050      1872      8727
  25.52920  25.52819     0.050      1870      8709
  25.52813  25.52699     0.050      1872      8734
  25.52706  25.52581     0.050      1875      8736
  25.52599  25.52466     0.050      1871      8726
  25.52492  25.52360     0.050      1874      8734
  25.52385  25.52260     0.050      1875      8752
  25.52278  25.52167     0.050      1876      8750
  25.52171  25.52074     0.050      1876      8752
  25.52064  25.51975     0.050      1876      8748
  25.51957  25.51861     0.050      1879      8768
  25.51850  25.51741     0.050      1880      8763
  25.51743  25.51623     0.050      1878      8761
  25.51636  25.51507     0.050      1878      8773
  25.51529  25.51398     0.050      1882      8781
  25.51422  25.51295     0.050      1881      8778
  25.51315  25.51201     0.050      1883      8797
  25.51208  25.51108     0.050      1884      8800
  25.51101  25.51012     0.050      1883      8800
  25.50994  25.50903     0.050      1889      8821
  25.50887  25.50784     0.050      1884      8809
  25.50780  25.50665     0.050      1887      8819
  25.50673  25.50547     0.050      1887      8826
  25.50566  25.50435     0.050      1891      8839
  25.50459  25.50329     0.050      1888      8826
  25.50352  25.50232     0.050      1885      8819
  25.50245  25.50140     0.050      1895      8853
  25.50138  25.50045     0.050      1892      8857
  25.50031  25.49941     0.050      1892      8840
  25.49924  25.49823     0.050      1891      8854
  25.49817  25.49704     0.050      1895      8871
  25.49710  25.49586     0.050      1894      8859
  25.49603  25.49471     0.050      1893      8864
  25.49496  25.49364     0.050      1893      8873
  25.49389  25.49264     0.050      1894      8870
  25.49282  25.49172     0.050      1894      8867
  25.49175  25.49078     0.050      1898      8883
  25.49068  25.48980     0.050      1898      8893
