  9809     SPring-8 14b2 
 Pb-L21_PbTe_Si  21.02.10 08:03 - 21.02.10 08:09
 PbTe                                                                            
 Ring :   8.0 GeV    99.6 mA -   99.6 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 14.92483 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 6727
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       14.74500  12.58000    -0.000330       0.05      6727
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3         4
      Mode         0         0         1         2         3
    Offset         0         0   229.200   251.100   177.000
  14.67834  14.69440     0.050     29899     26227      3346
  14.67801  14.69411     0.050     29887     26229      3346
  14.67768  14.69379     0.050     29893     26231      3348
  14.67735  14.69345     0.050     29912     26242      3353
  14.67702  14.69312     0.050     29896     26238      3349
  14.67669  14.69279     0.050     29863     26215      3345
  14.67636  14.69247     0.050     29867     26227      3350
  14.67603  14.69216     0.050     29919     26258      3356
  14.67570  14.69186     0.050     29889     26242      3357
  14.67537  14.69156     0.050     29869     26225      3351
  14.67504  14.69126     0.050     29874     26250      3354
  14.67471  14.69096     0.050     29887     26262      3354
  14.67438  14.69065     0.050     29859     26236      3351
  14.67405  14.69035     0.050     29871     26249      3355
  14.67372  14.69006     0.050     29892     26267      3358
  14.67339  14.68980     0.050     29853     26242      3359
  14.67306  14.68955     0.050     29851     26239      3359
  14.67273  14.68930     0.050     29872     26263      3358
  14.67240  14.68904     0.050     29873     26262      3360
  14.67207  14.68877     0.050     29831     26231      3359
  14.67174  14.68849     0.050     29841     26239      3353
  14.67141  14.68821     0.050     29838     26251      3358
  14.67108  14.68793     0.050     29817     26231      3356
  14.67075  14.68766     0.050     29797     26220      3357
  14.67042  14.68738     0.050     29771     26203      3356
  14.67009  14.68709     0.050     29744     26184      3352
  14.66976  14.68678     0.050     29652     26097      3343
  14.66943  14.68644     0.050     29502     25971      3325
  14.66910  14.68608     0.050     29350     25858      3312
  14.66877  14.68571     0.050     29186     25702      3293
  14.66844  14.68535     0.050     29135     25656      3288
  14.66811  14.68500     0.050     29101     25626      3286
  14.66778  14.68466     0.050     29101     25620      3284
  14.66745  14.68433     0.050     29185     25725      3297
  14.66712  14.68399     0.050     29266     25801      3302
  14.66679  14.68364     0.050     29369     25892      3318
  14.66646  14.68328     0.050     29536     26027      3338
  14.66613  14.68292     0.050     29698     26184      3355
  14.66580  14.68259     0.050     29819     26303      3376
  14.66547  14.68227     0.050     29913     26364      3380
  14.66514  14.68196     0.050     29936     26400      3390
  14.66481  14.68165     0.050     29925     26399      3384
  14.66448  14.68134     0.050     29914     26394      3387
