  9809     SPring-8 14b2 
 Pb-L21_Pb3O4_S  21.02.10 01:11 - 21.02.10 01:17
 Pb3O4                                                                           
 Ring :   8.0 GeV    99.6 mA -   99.5 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle=  7.72956 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 6730
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1        7.64000   6.53000    -0.000170       0.05      6730
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3         4
      Mode         0         0         1         2         3
    Offset         0         0   211.100   256.500   176.500
   7.57795   7.58537     0.050     15667     18191     23930
   7.57778   7.58521     0.050     15651     18174     23912
   7.57761   7.58505     0.050     15643     18167     23899
   7.57744   7.58489     0.050     15668     18191     23943
   7.57727   7.58472     0.050     15658     18184     23926
   7.57710   7.58456     0.050     15645     18174     23921
   7.57693   7.58440     0.050     15650     18185     23932
   7.57676   7.58425     0.050     15648     18183     23946
   7.57659   7.58410     0.050     15642     18178     23936
   7.57642   7.58395     0.050     15634     18171     23937
   7.57625   7.58382     0.050     15628     18169     23928
   7.57608   7.58368     0.050     15627     18170     23937
   7.57591   7.58355     0.050     15609     18151     23917
   7.57574   7.58342     0.050     15618     18162     23927
   7.57557   7.58329     0.050     15623     18169     23942
   7.57540   7.58316     0.050     15598     18142     23912
   7.57523   7.58303     0.050     15610     18156     23930
   7.57506   7.58289     0.050     15619     18170     23953
   7.57489   7.58275     0.050     15608     18159     23941
   7.57472   7.58261     0.050     15614     18168     23950
   7.57455   7.58247     0.050     15625     18183     23972
   7.57438   7.58233     0.050     15614     18172     23966
   7.57421   7.58218     0.050     15617     18183     23985
   7.57404   7.58204     0.050     15628     18195     24005
   7.57387   7.58190     0.050     15620     18188     23994
   7.57370   7.58175     0.050     15625     18196     24005
   7.57353   7.58161     0.050     15632     18207     24025
   7.57336   7.58147     0.050     15637     18213     24043
   7.57319   7.58133     0.050     15639     18218     24046
   7.57302   7.58118     0.050     15646     18229     24062
   7.57285   7.58103     0.050     15652     18238     24075
   7.57268   7.58087     0.050     15646     18232     24072
   7.57251   7.58071     0.050     15644     18233     24075
   7.57234   7.58054     0.050     15642     18234     24086
   7.57217   7.58036     0.050     15650     18245     24095
   7.57200   7.58017     0.050     15641     18237     24092
   7.57183   7.57998     0.050     15647     18245     24113
   7.57166   7.57978     0.050     15651     18254     24125
   7.57149   7.57959     0.050     15641     18243     24112
   7.57132   7.57941     0.050     15636     18244     24109
   7.57115   7.57923     0.050     15649     18255     24140
   7.57098   7.57905     0.050     15632     18241     24114
   7.57081   7.57887     0.050     15629     18240     24121
   7.57064   7.57870     0.050     15640     18254     24142
   7.57047   7.57853     0.050     15635     18251     24140
   7.57030   7.57836     0.050     15633     18245     24136
   7.57013   7.57819     0.050     15638     18256     24158
   7.56996   7.57801     0.050     15633     18252     24153
   7.56979   7.57783     0.050     15634     18262     24170
   7.56962   7.57765     0.050     15631     18258     24159
   7.56945   7.57747     0.050     15631     18260     24168
   7.56928   7.57728     0.050     15633     18266     24178
   7.56911   7.57710     0.050     15620     18251     24166
   7.56894   7.57692     0.050     15617     18249     24161
   7.56877   7.57674     0.050     15618     18254     24176
   7.56860   7.57657     0.050     15596     18234     24145
   7.56843   7.57640     0.050     15604     18243     24163
   7.56826   7.57624     0.050     15602     18241     24165
   7.56809   7.57608     0.050     15596     18236     24164
   7.56792   7.57592     0.050     15603     18247     24171
   7.56775   7.57576     0.050     15616     18258     24194
   7.56758   7.57560     0.050     15596     18248     24190
   7.56741   7.57543     0.050     15608     18261     24210
   7.56724   7.57527     0.050     15610     18263     24209
   7.56707   7.57511     0.050     15607     18263     24227
   7.56690   7.57495     0.050     15608     18269     24215
   7.56673   7.57479     0.050     15622     18285     24251
   7.56656   7.57462     0.050     15612     18276     24239
   7.56639   7.57446     0.050     15619     18283     24264
   7.56622   7.57431     0.050     15614     18287     24246
   7.56605   7.57416     0.050     15627     18301     24275
   7.56588   7.57402     0.050     15624     18298     24278
   7.56571   7.57387     0.050     15628     18304     24294
   7.56554   7.57374     0.050     15638     18321     24308
   7.56537   7.57360     0.050     15634     18319     24320
   7.56520   7.57347     0.050     15622     18304     24304
   7.56503   7.57334     0.050     15640     18327     24343
   7.56486   7.57321     0.050     15637     18327     24346
   7.56469   7.57308     0.050     15629     18315     24336
   7.56452   7.57294     0.050     15631     18323     24342
   7.56435   7.57281     0.050     15631     18326     24348
   7.56418   7.57267     0.050     15614     18313     24330
   7.56401   7.57252     0.050     15624     18323     24359
   7.56384   7.57238     0.050     15625     18328     24360
   7.56367   7.57224     0.050     15615     18316     24344
   7.56350   7.57210     0.050     15618     18325     24352
   7.56333   7.57196     0.050     15621     18327     24363
   7.56316   7.57181     0.050     15611     18318     24357
   7.56299   7.57167     0.050     15614     18324     24376
   7.56282   7.57153     0.050     15612     18324     24370
   7.56265   7.57139     0.050     15613     18327     24377
   7.56248   7.57124     0.050     15607     18325     24378
   7.56231   7.57109     0.050     15613     18329     24386
   7.56214   7.57093     0.050     15609     18329     24390
   7.56197   7.57077     0.050     15614     18337     24402
   7.56180   7.57060     0.050     15610     18332     24405
   7.56163   7.57042     0.050     15614     18342     24412
   7.56146   7.57024     0.050     15621     18350     24438
   7.56129   7.57005     0.050     15608     18336     24419
   7.56112   7.56985     0.050     15620     18353     24436
   7.56095   7.56966     0.050     15623     18359     24448
   7.56078   7.56948     0.050     15608     18345     24438
   7.56061   7.56929     0.050     15617     18358     24451
   7.56044   7.56912     0.050     15621     18366     24468
   7.56027   7.56894     0.050     15611     18358     24455
   7.56010   7.56876     0.050     15615     18363     24467
   7.55993   7.56860     0.050     15614     18365     24474
   7.55976   7.56843     0.050     15610     18361     24483
   7.55959   7.56826     0.050     15616     18371     24487
   7.55942   7.56808     0.050     15604     18360     24472
   7.55925   7.56791     0.050     15614     18370     24490
   7.55908   7.56773     0.050     15613     18376     24505
   7.55891   7.56754     0.050     15596     18357     24486
   7.55874   7.56736     0.050     15621     18384     24526
   7.55857   7.56717     0.050     15616     18386     24532
   7.55840   7.56699     0.050     15606     18374     24517
   7.55823   7.56681     0.050     15613     18386     24540
   7.55806   7.56663     0.050     15614     18390     24541
   7.55789   7.56646     0.050     15607     18380     24532
   7.55772   7.56630     0.050     15610     18389     24543
   7.55755   7.56613     0.050     15611     18390     24552
   7.55738   7.56597     0.050     15605     18385     24550
   7.55721   7.56581     0.050     15608     18393     24560
   7.55704   7.56565     0.050     15615     18401     24576
   7.55687   7.56549     0.050     15606     18394     24575
   7.55670   7.56533     0.050     15607     18397     24581
   7.55653   7.56516     0.050     15608     18401     24587
   7.55636   7.56500     0.050     15605     18397     24588
   7.55619   7.56484     0.050     15609     18408     24596
   7.55602   7.56467     0.050     15597     18397     24584
   7.55585   7.56451     0.050     15609     18413     24618
   7.55568   7.56435     0.050     15605     18406     24611
   7.55551   7.56420     0.050     15604     18406     24608
   7.55534   7.56406     0.050     15608     18415     24627
   7.55517   7.56391     0.050     15609     18413     24623
   7.55500   7.56377     0.050     15604     18418     24632
   7.55483   7.56364     0.050     15607     18423     24637
   7.55466   7.56351     0.050     15609     18426     24649
   7.55449   7.56338     0.050     15594     18413     24640
   7.55432   7.56325     0.050     15602     18424     24656
   7.55415   7.56312     0.050     15612     18432     24670
   7.55398   7.56298     0.050     15590     18417     24648
   7.55381   7.56284     0.050     15593     18421     24664
   7.55364   7.56270     0.050     15602     18431     24678
   7.55347   7.56256     0.050     15592     18419     24659
   7.55330   7.56242     0.050     15589     18424     24673
   7.55313   7.56227     0.050     15592     18428     24687
   7.55296   7.56213     0.050     15597     18433     24688
   7.55279   7.56199     0.050     15586     18427     24687
   7.55262   7.56185     0.050     15587     18424     24679
   7.55245   7.56171     0.050     15597     18438     24728
   7.55228   7.56156     0.050     15597     18440     24706
   7.55211   7.56142     0.050     15583     18431     24703
   7.55194   7.56127     0.050     15589     18440     24714
   7.55177   7.56112     0.050     15592     18445     24730
   7.55160   7.56097     0.050     15582     18434     24722
   7.55143   7.56080     0.050     15590     18448     24738
   7.55126   7.56063     0.050     15591     18450     24746
   7.55109   7.56045     0.050     15581     18443     24743
   7.55092   7.56027     0.050     15586     18452     24749
   7.55075   7.56008     0.050     15596     18461     24766
   7.55058   7.55989     0.050     15585     18450     24763
   7.55041   7.55969     0.050     15595     18461     24778
   7.55024   7.55950     0.050     15593     18464     24776
   7.55007   7.55931     0.050     15586     18459     24776
   7.54990   7.55913     0.050     15586     18465     24789
